Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class,index
Justin Bieber,Hold On,89,0.658,0.634,1,-5.797,0,0.0413,0.0106,0,0.132,0.29,139.98,170813,4,Pop,44
Nathan Evans,Wellerman,89,0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,116750,4,Pop,45
Tate McRae,you broke me first,89,0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148,169266,4,Pop,46
Doja Cat,Ain't Shit,89,0.855,0.488,3,-4.601,1,0.208,0.506,0,0.347,0.619,124.097,2.904216667,4,Pop,47
Lil Tjay,Calling My Phone,89,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35E-06,0.135,0.202,104.949,205458,4,Pop,48
Joel Corry,BED,89,0.671,0.782,6,-4.593,1,0.0341,0.0142,0.00221,0.333,0.618,123.989,178088,4,Pop,49
Post Malone,Circles,88,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4,Pop,50
Billie Eilish,Therefore I Am,88,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,174321,4,Rock,51
P!nk,Cover Me In Sunshine,88,0.476,0.594,5,-6.879,1,0.135,0.0599,0,0.0785,0.314,159.702,141050,4,Pop,52
Kali Uchis,telepatía,88,0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97,2.66985,4,Pop,53
Trinidad Cardona,Dinero,88,0.708,0.782,2,-4.687,1,0.0674,0.00772,0,0.107,0.484,119.997,2.68133333,4,Pop,54
Trippie Redd,Miss The Rage ,88,0.584,0.859,8,-5.616,1,0.121,0.0144,0,0.847,0.369,77.005,236883,4,Pop,55
OneRepublic,Run,88,0.682,0.72,11,-8.173,0,0.0381,0.326,0,0.148,0.673,117.003,2.81685,4,Pop,56
Megan Thee Stallion,Thot Shit,88,0.95,0.693,9,-3.424,1,0.0898,0.0133,0,0.173,0.891,130.02,3.07725,4,Pop,57
Ava Max,My Head & My Heart,88,0.614,0.934,9,-3.709,0,0.07,0.0697,0,0.121,0.436,116.001,174760,4,Pop,58
Conan Gray,Heather,88,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,198040,3,Pop,59
"Travis Scott, HVME",Goosebumps,88,0.841,0.593,1,-7.846,1,0.0379,0.418,0,0.124,0.808,124.917,2.71338333,4,Pop,60
Surf Curse,Freaks,88,0.345,0.941,9,-9.918,1,0.0466,3.84E-05,0.633,0.0511,0.407,179.626,2.45103333,4,Pop,61
"Marshmello, Jonas Brothers",Leave Before You Love Me ,88,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41E-06,0.118,0.637,119.976,2.58305,4,Pop,62
Drake,What‚Äôs Next,87,0.781,0.594,0,-6.959,0,0.0485,0.0136,0,0.162,0.0628,129.895,178154,4,HipHop,63
Billie Eilish,bad guy,87,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,Pop,64
Pop Smoke,What You Know Bout Love,87,0.709,0.548,10,-8.493,1,0.353,0.65,1.59E-06,0.133,0.543,83.995,160000,4,Pop,65
Pop Smoke,For The Night ,87,0.823,0.586,6,-6.606,0,0.2,0.114,0,0.193,0.347,125.971,190476,4,Pop,66
Ofenbach,Wasted Love ,87,0.734,0.855,6,-4.578,0,0.135,0.0821,4.73E-06,0.0901,0.54,121.955,139563,4,Pop,67
Imagine Dragons,Follow You,87,0.542,0.732,9,-5.956,1,0.0521,0.00209,7.92E-05,0.496,0.489,124.912,175644,4,Rock,68
The Neighbourhood,Sweater Weather,87,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.006666667,4,Pop,69
Imagine Dragons,Believer,87,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,204347,4,Rock,70
"Justin Wellington, Small Jam",Iko Iko ,87,0.862,0.753,5,-5.356,1,0.0625,0.131,2.01E-06,0.077,0.827,105.039,3.047616667,4,Pop,71
Maroon 5,Memories,87,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,4,Pop,72
Young Stoner Life,Solid ,86,0.887,0.485,11,-9.358,0,0.2,0.0392,0,0.141,0.328,125.987,215693,4,HipHop,73
Ed Sheeran,Shape of You,86,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713,4,Pop,74
Doja Cat,Need To Know,86,0.664,0.609,1,-6.509,1,0.0707,0.304,0,0.0926,0.194,130.041,3.509333333,4,Pop,75
J. Cole,m y . l i f e ,86,0.597,0.587,7,-7.026,0,0.137,0.0622,0,0.214,0.0753,140.021,218802,4,Pop,76
Tom Odell,Another Love,86,0.445,0.537,4,-8.532,0,0.04,0.695,1.65E-05,0.0944,0.131,122.769,244360,4,Pop,77
Drake,Laugh Now Cry Later ,86,0.761,0.518,0,-8.871,1,0.134,0.244,3.47E-05,0.107,0.522,133.976,261493,4,Pop,78
XXXTENTACION,Jocelyn Flores,86,0.872,0.391,0,-9.144,0,0.242,0.469,4.13E-06,0.297,0.437,134.021,119133,4,HipHop,79
The Kid LAROI,WITHOUT YOU ,86,0.655,0.469,0,-6.257,1,0.0292,0.173,0,0.0956,0.467,92.56,161385,4,HipHop,80
Travis Scott,HIGHEST IN THE ROOM,86,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83E-06,0.21,0.0605,76.469,175721,4,HipHop,81
Ed Sheeran,Perfect,86,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400,3,Pop,82
John Legend,All of Me,86,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,269560,4,Pop,83
J. Cole,a m a r i,86,0.725,0.713,4,-6.173,0,0.187,0.127,0,0.617,0.207,65.988,148421,4,Pop,84
Beach Bunny,Cloud 9,86,0.637,0.929,4,-3.593,1,0.0491,0.00167,2.62E-05,0.344,0.902,80.974,147351,4,Pop,85
Ashnikko,Slumber Party ,86,0.964,0.398,11,-8.981,0,0.0795,0.00151,3.95E-05,0.101,0.563,105.012,178405,4,Rock,86
"WILLOW, Travis Barker",t r a n s p a r e n t s o u l feat. Travis Barker,86,0.39,0.83,11,-5.201,0,0.0563,0.0021,0,0.156,0.191,90.021,2.8005,4,Pop,87
The Weeknd,The Hills,86,0.585,0.564,0,-7.063,0,0.0515,0.0671,0,0.135,0.137,113.003,242253,4,Pop,88
Harry Styles,Falling,86,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46E-06,0.089,0.0592,110.011,240133,4,Pop,89
ElyOtto,SugarCrash!,86,0.748,0.734,0,-6.499,1,0.124,0.524,1.15E-05,0.0975,0.368,97.753,80081,4,Pop,90
Black Eyed Peas,GIRL LIKE ME,86,0.965,0.485,2,-8.784,1,0.191,0.0206,0.0237,0.0655,0.312,124.025,222523,4,Pop,91
Coldplay,Yellow,86,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4,Pop,92
Gym Class Heroes,Cupid's Chokehold / Breakfast in America,85,0.72,0.744,1,-6.938,0,0.12,0.237,0,0.255,0.619,78.953,243773,4,Pop,93
CJ,Whoopty,85,0.719,0.648,3,-7.6,0,0.125,0.2,0,0.127,0.66,140.201,123263,4,Pop,94
Fleetwood Mac,Dreams,85,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,4,Pop,95
a-ha,Take on Me,85,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,225280,4,Rock,96
Daddy Yankee,PROBLEMA,85,0.773,0.8,10,-3.17,0,0.0987,0.0613,0.00403,0.0327,0.842,89.988,184507,4,Pop,97
J. Cole,p r i d e . i s . t h e . d e v i l ,85,0.861,0.656,4,-7.867,0,0.425,0.104,0,0.0986,0.331,88.967,218210,4,HipHop,98
Machine Gun Kelly,my ex's best friend ,85,0.731,0.675,5,-5.134,0,0.0434,0.00473,0,0.141,0.298,124.939,139461,4,Pop,99
J Balvin,Otra Noche Sin Ti,85,0.503,0.548,0,-7.564,0,0.164,0.0751,0.000234,0.145,0.441,94.036,228920,4,Pop,100
StarBoi3,Dick ,85,0.647,0.608,9,-6.831,1,0.42,0.13,0,0.0584,0.474,125.994,175238,4,Pop,101
Ed Sheeran,Afterglow,85,0.641,0.324,11,-5.851,1,0.0299,0.698,0,0.328,0.273,110.184,185487,4,Pop,102
Juice WRLD,Wishing Well,85,0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972,194621,4,Pop,103
Shouse,Love Tonight,85,0.727,0.681,5,-7.114,0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,4.03283333,4,Pop,104
Russ Millions,Body,85,0.889,0.705,11,-8.683,0,0.392,0.389,1.04E-05,0.0692,0.815,141.069,183830,4,HipHop,105
Avicii,Wake Me Up,85,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4,Pop,106
Billie Eilish,everything i wanted,85,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,Pop,107
Eminem,Godzilla ,85,0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,210800,4,HipHop,108
"Cochise, $NOT",Tell Em,85,0.672,0.717,5,-7.476,1,0.226,0.103,0,0.398,0.473,157.905,3.006333333,4,Pop,109
Arctic Monkeys,Do I Wanna Know?,85,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4,Indie Alt,110
dhruv,double take,85,0.663,0.434,8,-11.177,1,0.0648,0.828,0,0.249,0.225,109.075,2.86238333,4,Pop,111
Coldplay,Higher Power,85,0.507,0.828,10,-6.023,1,0.0449,0.00711,2.44E-05,0.261,0.489,178.032,211295,4,Alt_Music,112
Regard,You,85,0.691,0.695,0,-5.6,1,0.0367,0.0592,0,0.0647,0.514,106.064,233386,4,Pop,113
Tame Impala,The Less I Know The Better,84,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320,4,Pop,114
Zoe Wees,Girls Like Us,84,0.444,0.648,1,-4.955,1,0.0476,0.288,0,0.059,0.171,125.706,189000,5,Pop,115
Mother Mother,Hayloft,84,0.527,0.922,9,-2.666,0,0.0728,0.00475,0.000162,0.422,0.49,95.975,181680,4,Pop,116
Michael Jackson,Billie Jean,84,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,293827,4,Rock,117
Glass Animals,Heat Waves,84,0.761,0.525,11,-6.9,1,0.0944,0.44,6.70E-06,0.0921,0.531,80.87,238805,4,Pop,118
B√òRNS,Electric Love,84,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107,4,Indie Alt,119
Doja Cat,Say So,84,0.787,0.673,11,-4.577,0,0.158,0.256,3.57E-06,0.0904,0.786,110.962,237893,4,Pop,120
Eminem,'Till I Collapse,84,0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,297787,4,HipHop,121
Ava Max,Kings & Queens,84,0.637,0.69,1,-4.057,0,0.0405,0.00786,0,0.124,0.457,129.857,162399,4,Pop,122
AC/DC,Back In Black,84,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4,Metal,123
"Internet Money, Gunna, Don Toliver, Lil Uzi Vert",His & Hers ,84,0.792,0.707,7,-5.218,0,0.0623,0.116,0,0.12,0.408,134.997,3.734033333,4,Pop,124
Bo Burnham,Bezos I,84,0.694,0.948,2,-5.307,1,0.0361,0.00936,1.62E-05,0.139,0.705,115.044,0.96915,4,Pop,125
"Anne-Marie, Niall Horan",Our Song,84,0.595,0.759,11,-4.245,0,0.0423,0.141,0,0.172,0.515,80.953,2.72888333,4,Pop,126
DJ Khaled,POPSTAR ,84,0.8,0.56,5,-4.818,0,0.261,0.057,0,0.134,0.45,163.071,200221,4,Pop,127
Sarah Cothran,As the World Caves In,84,0.372,0.255,7,-6.834,1,0.0344,0.436,0,0.33,0.254,114.402,2.69355,1,Pop,128
Juice WRLD,Come & Go ,84,0.625,0.814,0,-5.181,1,0.0657,0.0172,0,0.158,0.535,144.991,205485,4,Pop,129
Lil Peep,Star Shopping,84,0.585,0.471,4,-9.934,0,0.0616,0.0967,0.0184,0.115,0.323,93.099,142000,4,HipHop,130
Jamie Miller,Here's Your Perfect,84,0.558,0.454,6,-5.335,1,0.0551,0.499,0,0.146,0.424,113.12,2.64323333,4,Pop,131
The Weeknd,In Your Eyes,84,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.10E-05,0.0736,0.717,100.021,237520,4,Pop,132
Lil Tjay,Run It Up ,84,0.88,0.575,6,-6.091,1,0.163,0.415,0,0.109,0.671,120.031,232048,4,HipHop,133
Foster The People,Pumped Up Kicks,84,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4,Pop,134
DaBaby,Ball If I Want To,84,0.902,0.669,1,-5.049,1,0.457,0.161,0,0.0728,0.628,139.949,1.875783333,4,Pop,135
J. Cole,9 5 . s o u t h,84,0.713,0.793,2,-5.277,1,0.397,0.271,0,0.727,0.203,71.724,196946,4,HipHop,136
Dan + Shay,"10,000 Hours ",84,0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,167693,4,Pop,137
Justin Bieber,Lonely ,84,0.631,0.239,11,-7.071,0,0.0398,0.864,0,0.116,0.0927,79.859,149297,4,Pop,138
Mimi Webb,Good Without,84,0.616,0.576,11,-5.495,0,0.0532,0.0723,0,0.375,0.269,89.962,182121,4,Pop,139
Pop Smoke,Mood Swings ,84,0.48,0.602,10,-6.335,0,0.368,0.487,0,0.0848,0.269,179.798,213333,4,HipHop,140
Noah Cyrus,July,83,0.708,0.186,9,-8.953,0,0.042,0.868,0,0.0779,0.322,72.541,156106,4,Pop,141
DJ Khaled,I DID IT ,83,0.757,0.721,4,-2.906,0,0.0691,0.00196,0,0.647,0.364,124.036,165366,4,Pop,142
Lauv,I Like Me Better,83,0.752,0.505,9,-7.621,1,0.253,0.535,2.55E-06,0.104,0.419,91.97,197437,4,Pop,143
AC/DC,Highway to Hell,83,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4,Metal,144
"The Kid LAROI, Polo G, Stunna Gambino",NOT SOBER ,83,0.671,0.639,2,-6.852,0,0.134,0.0928,0,0.0941,0.385,119.82,3.6,5,Pop,145
Jonas Brothers,Sucker,83,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,181027,4,Pop,146
Future,Life Is Good ,83,0.676,0.609,2,-5.831,0,0.481,0.0706,0,0.152,0.508,142.037,237735,4,Pop,147
Ed Sheeran,Thinking out Loud,83,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,281560,4,Pop,148
Sam Fischer,This City,83,0.605,0.377,11,-6.213,1,0.0443,0.733,0,0.0808,0.519,73.877,194853,4,Pop,149
SLANDER,Love Is Gone,83,0.541,0.153,6,-10.654,1,0.0303,0.882,1.66E-06,0.16,0.359,139.644,176972,4,Pop,150
Train,"Hey, Soul Sister",83,0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,216773,4,Pop,151
Childish Gambino,Redbone,83,0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,326933,4,Pop,152
Imagine Dragons,Thunder,83,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,187147,4,Pop,153
MEDUZA,Lose Control,83,0.598,0.526,10,-8.659,0,0.0415,0.129,0,0.14,0.529,123.935,168387,4,Pop,154
Coldplay,The Scientist,83,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46E-05,0.11,0.213,146.277,309600,4,Rock,155
Twenty One Pilots,Shy Away,83,0.588,0.856,9,-5.242,0,0.0316,0.000818,0.0739,0.238,0.635,96.966,175044,4,Pop,156
Tears For Fears,Everybody Wants To Rule The World,83,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,251489,4,Rock,157
"Becky Hill, David Guetta",Remember,83,0.612,0.862,8,-2.903,1,0.037,0.041,0,0.0907,0.354,123.849,2.67943333,4,Pop,158
The White Stripes,Seven Nation Army,83,0.726,0.463,0,-7.828,1,0.0799,0.00817,0.447,0.255,0.321,123.881,231733,4,Indie Alt,159
Imagine Dragons,Wrecked,83,0.626,0.56,0,-5.82,0,0.0288,0.148,1.51E-05,0.109,0.229,93.989,4.06675,4,Pop,160
Drake,Passionfruit,83,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4,Pop,161
Bon Jovi,Livin' On A Prayer,83,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,249293,4,Rock,162
The Chainsmokers,Something Just Like This,83,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,247160,4,Pop,163
Britney Spears,Gimme More,83,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,251240,4,Pop,164
Linkin Park,In the End,83,0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,216880,4,Rock,165
Miley Cyrus,Prisoner ,83,0.781,0.67,3,-3.912,0,0.0452,0.0103,0,0.0761,0.595,127.99,169333,4,Pop,166
Weeekly,After School,83,0.634,0.928,1,-1.609,1,0.0514,0.00719,2.55E-06,0.0626,0.738,164.007,205373,4,Pop,167
TOTO,Africa,83,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01E-05,0.0481,0.732,92.718,295893,4,Rock,168
Clairo,Sofia,83,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,188387,4,Rock,169
AC/DC,Thunderstruck,83,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880,4,Metal,170
"Blxst, Tyga, Ty Dolla $ign",Chosen ,82,0.571,0.767,2,-5.16,1,0.287,0.336,0,0.0809,0.605,93.421,2.69473333,4,Pop,171
The Killers,Mr. Brightside,82,0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,222973,4,Rock,172
Fleetwood Mac,The Chain,82,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213,4,Rock,173
Elton John,Rocket Man ,82,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25E-06,0.0925,0.341,136.571,281613,4,Rock,174
THE SCOTTS,THE SCOTTS,82,0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979,165978,4,Pop,175
P!nk,Just Give Me a Reason ,82,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,4,Pop,176
Young Stoner Life,Ski,82,0.953,0.621,8,-7.638,0,0.221,0.017,0,0.0398,0.883,123.016,152333,4,HipHop,177
R.E.M.,Losing My Religion,82,0.666,0.855,9,-5.051,0,0.0295,0.179,1.20E-06,0.0987,0.803,125.639,268427,4,Rock,178
Outkast,Ms. Jackson,82,0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,270507,4,HipHop,179
Ariana Grande,motive ,82,0.789,0.742,10,-5.664,0,0.0652,0.0681,0,0.166,0.661,116.965,167990,4,Pop,180
Bruno Mars,Talking to the Moon,82,0.523,0.606,1,-4.754,0,0.0301,0.512,0,0.106,0.065,145.837,217867,4,Pop,181
KSI,Holiday,82,0.356,0.684,8,-7.347,1,0.0878,0.152,0,0.101,0.347,87.188,3.22888333,4,Pop,182
Surfaces,Sunday Best,82,0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,158571,4,Pop,183
Tones And I,Fly Away,82,0.806,0.513,4,-6.208,1,0.0685,0.217,0,0.217,0.503,124.988,178157,4,Pop,184
Creedence Clearwater Revival,Fortunate Son,82,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,4,Rock,185
Shawn Mendes,Monster ,82,0.652,0.383,2,-7.076,0,0.0516,0.0676,0,0.0828,0.549,145.765,178994,4,Pop,186
Sam Smith,Stay With Me,82,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39E-05,0.11,0.184,84.094,172724,4,Pop,187
Twenty One Pilots,Heathens,82,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58E-05,0.105,0.548,90.024,195920,4,Pop,188
347aidan,Dancing in My Room,82,0.98,0.413,8,-11.052,0,0.101,0.671,7.95E-05,0.17,0.764,119.993,180139,4,HipHop,189
Gorillaz,Feel Good Inc.,82,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,222640,4,Alt_Music,190
Ava Max,Sweet but Psycho,82,0.72,0.706,1,-4.719,1,0.0473,0.0684,0,0.166,0.62,133.002,187436,4,Pop,191
Linkin Park,Numb,82,0.496,0.863,9,-4.153,1,0.0381,0.0046,0,0.639,0.243,110.018,185587,4,Rock,192
